事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/5,,セサミチキン,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,設定なし,ごま,夏,設定なし,洋,,設定なし,,166.738,25.791,7.627,0.556,0.915,,,,,,,,,,,,,CTM/attachment/2016042111103923100d92794-7175-47e1-9073-bceda4e56c96/ごまさるさ
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/6,,大根とがんもの煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,豆・豆製品,醤油,,,,和,,,,98.54,5.06,4.7,9.962,1.71,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/7,,カニシューマイ,,200,,本登録,通常レシピ,マイレシピ,その他２,蒸物,肉（その他）,設定なし,その他,,,中華,,,,164,5.8,6.4,20.8,1.1,,,,,,,○,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/8,,ささみとブロッコリー,,200,,本登録,通常レシピ,マイレシピ,その他１,和え物・酢の物,野菜,酢・ドレ,,,,洋,,設定なし,,60.645,6.934,1.303,6.254,0.428,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/9,,白身魚の塩焼き,,200,,本登録,通常レシピ,マイレシピ,その他５,焼物,魚,,,,,洋,,設定なし,,93.3,17.195,1.415,2.155,1.365,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/5,,ササミ磯辺フライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,味噌,その他,,,その他,,パート事業所向けレシピ,,284.51,27.92,12.581,12.72,0.805,,,,,,○,○,○,,○,○,,CTM/attachment/20160408144046747d9a3fc3d-8c70-4eb6-8c4d-2626efd65dd1/97000073-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/6,,照り焼き豚のねぎおろしのせ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（豚）,醤油,その他,,,和,,,,458.8,14.77,36.54,15.3,1.77,,,,,,,,○,,,,,CTM/attachment/20160421165124386d604d50e-2dfa-444e-8018-7e0dd1542363/10010326-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/7,,鶏の天ぷら 辛子ポン酢,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,ごま,,設定なし,和,,設定なし,,423.286,19.587,28.079,23.76,4.668,,,,,,,,○,,,,,CTM/attachment/20160405094248593b9edb2d6-aafd-4a19-9fc1-0c94bd728429/01020429-5
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/8,,ポークソテーシャリアピンソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,焼物,肉（豚）,その他,,,,和,,,,370.469,22.564,28.188,2.419,1.105,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/9,,チキンカツ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,設定なし,その他,,設定なし,洋,,設定なし,,554.58,22.86,40.32,21.24,1.8,,,,,,,,○,,○,,,
